ORG_KSSS,date,Чеки дневные,Чеки ночные,Часы дневные,Часы ночные,Совокупное кол-во суточных чеков,Совокупное кол-во суточных часов
1059,2026-02-01,423.0,120.0,24,12,543,36
1059,2026-02-02,421.0,119.0,24,12,540,36
1059,2026-02-03,417.0,118.0,24,12,535,36
1059,2026-02-04,419.0,119.0,24,12,538,36
1059,2026-02-05,440.0,125.0,24,12,565,36
1059,2026-02-06,346.0,98.0,12,12,444,24
1059,2026-02-07,318.0,90.0,12,12,408,24
1059,2026-02-08,416.0,118.0,24,12,534,36
1059,2026-02-09,415.0,117.0,24,12,532,36
1059,2026-02-10,416.0,118.0,24,12,534,36
1059,2026-02-11,416.0,118.0,24,12,534,36
1059,2026-02-12,439.0,124.0,24,12,563,36
1059,2026-02-13,341.0,96.0,12,12,437,24
1059,2026-02-14,319.0,90.0,12,12,409,24
1059,2026-02-15,415.0,118.0,24,12,533,36
1059,2026-02-16,414.0,117.0,24,12,531,36
1059,2026-02-17,416.0,118.0,24,12,534,36
1059,2026-02-18,416.0,118.0,24,12,534,36
1059,2026-02-19,439.0,124.0,24,12,563,36
1059,2026-02-20,340.0,96.0,12,12,436,24
1059,2026-02-21,319.0,90.0,12,12,409,24
1059,2026-02-22,415.0,117.0,24,12,532,36
1059,2026-02-23,414.0,117.0,24,12,531,36
1059,2026-02-24,415.0,118.0,24,12,533,36
1059,2026-02-25,416.0,118.0,24,12,534,36
1059,2026-02-26,438.0,124.0,24,12,562,36
1059,2026-02-27,340.0,96.0,12,12,436,24
1059,2026-02-28,319.0,90.0,12,12,409,24
1060,2026-02-01,947.0,348.0,48,24,1295,72
1060,2026-02-02,1112.0,409.0,48,24,1521,72
1060,2026-02-03,1170.0,430.0,48,24,1600,72
1060,2026-02-04,1202.0,442.0,48,24,1644,72
1060,2026-02-05,1228.0,452.0,48,24,1680,72
1060,2026-02-06,1233.0,454.0,48,24,1687,72
1060,2026-02-07,1082.0,398.0,48,24,1480,72
1060,2026-02-08,1004.0,369.0,48,24,1373,72
1060,2026-02-09,1123.0,413.0,48,24,1536,72
1060,2026-02-10,1153.0,424.0,48,24,1577,72
1060,2026-02-11,1171.0,431.0,48,24,1602,72
1060,2026-02-12,1189.0,437.0,48,24,1626,72
1060,2026-02-13,1232.0,453.0,48,24,1685,72
1060,2026-02-14,1088.0,400.0,48,24,1488,72
1060,2026-02-15,984.0,362.0,48,24,1346,72
1060,2026-02-16,1072.0,394.0,48,24,1466,72
1060,2026-02-17,1124.0,414.0,48,24,1538,72
1060,2026-02-18,1146.0,422.0,48,24,1568,72
1060,2026-02-19,1172.0,431.0,48,24,1603,72
1060,2026-02-20,1240.0,456.0,48,24,1696,72
1060,2026-02-21,1081.0,398.0,48,24,1479,72
1060,2026-02-22,944.0,347.0,48,24,1291,72
1060,2026-02-23,1084.0,399.0,48,24,1483,72
1060,2026-02-24,1128.0,415.0,48,24,1543,72
1060,2026-02-25,1131.0,416.0,48,24,1547,72
1060,2026-02-26,1135.0,418.0,48,24,1553,72
1060,2026-02-27,1194.0,439.0,48,24,1633,72
1060,2026-02-28,1088.0,400.0,48,24,1488,72
